task,recipe,reference,mask_name,metric,is_primary,n,df,mean,std,ci95_low,ci95_high,seeds_json,seed_differences_json
convnext_cifar100,constant_ild,dense,half,accuracy,False,3,2,0.3890666502217452,0.07394769950766493,0.20537038117114637,0.572762919272344,"[2000, 2001, 2002]","[0.4114999957382679, 0.44919996708631516, 0.30649998784065247]"
convnext_cifar100,constant_ild,dense,half,excess_ce,False,3,2,-6.258255415471395,2.8495411139200875,-13.336907957990991,0.8203971270482002,"[2000, 2001, 2002]","[-8.28793102645874, -7.486227732467652, -3.000607487487793]"
convnext_cifar100,constant_ild,dense,half,accuracy_change,False,3,2,0.3562333323061466,0.07489155520387702,0.17019239572605493,0.5422742688862383,"[2000, 2001, 2002]","[0.3814000077545643, 0.41530000418424606, 0.2719999849796295]"
convnext_cifar100,constant_ild,dense,five_sixths,ce,False,3,2,-2.487897949473063,1.3807977402858953,-5.917989688536903,0.9421937895907773,"[2000, 2001, 2002]","[-2.642105173492432, -3.7851187164306643, -1.0364699584960935]"
convnext_cifar100,constant_ild,dense,five_sixths,accuracy,False,3,2,0.22436667482058206,0.10613473121313699,-0.03928661352168092,0.488019963162845,"[2000, 2001, 2002]","[0.2502000033855438, 0.31520000100135803, 0.10770002007484436]"
convnext_cifar100,constant_ild,dense,five_sixths,excess_ce,False,3,2,-1.7751950441996256,1.4252054799558191,-5.315601724074974,1.7652116356757233,"[2000, 2001, 2002]","[-1.9016835998535155, -3.132940261077881, -0.29096127166747987]"
convnext_cifar100,constant_ild,dense,five_sixths,accuracy_change,False,3,2,0.19153335690498352,0.10695066692821523,-0.0741468281175402,0.45721354192750724,"[2000, 2001, 2002]","[0.2201000154018402, 0.28130003809928894, 0.07320001721382141]"
convnext_cifar100,constant_ild,dense,random_keeps_first_0,ce,False,3,2,-3.1236451972961423,1.2471750802918162,-6.221799847512685,-0.025490547079599413,"[2000, 2001, 2002]","[-3.477414934921265, -4.155718934249878, -1.7378017227172848]"
convnext_cifar100,constant_ild,dense,random_keeps_first_0,accuracy,False,3,2,0.27026664714018506,0.07977225140047042,0.07210138907811511,0.468431905202255,"[2000, 2001, 2002]","[0.28599999845027924, 0.340999960899353, 0.18379998207092285]"
convnext_cifar100,constant_ild,dense,random_keeps_first_0,excess_ce,False,3,2,-2.4109422920227046,1.286982091883218,-5.607983040928991,0.7860984568835816,"[2000, 2001, 2002]","[-2.7369933612823485, -3.5035404788970945, -0.9922930358886712]"
convnext_cifar100,constant_ild,dense,random_keeps_first_0,accuracy_change,False,3,2,0.2374333292245865,0.08050450434227027,0.037449054015187805,0.43741760443398514,"[2000, 2001, 2002]","[0.2559000104665756, 0.30709999799728394, 0.1492999792098999]"
convnext_cifar100,constant_ild,dense,random_keeps_first_1,ce,False,3,2,-3.0462400267283125,1.1771450816037143,-5.9704305162438285,-0.12204953721279654,"[2000, 2001, 2002]","[-3.990028137969971, -3.4214696598052985, -1.7272222824096684]"
convnext_cifar100,constant_ild,dense,random_keeps_first_1,accuracy,False,3,2,0.29059998691082,0.07645045695834288,0.10068652369341047,0.48051345012822955,"[2000, 2001, 2002]","[0.33149999380111694, 0.33789999783039093, 0.20239996910095215]"
convnext_cifar100,constant_ild,dense,random_keeps_first_1,excess_ce,False,3,2,-2.333537121454875,1.1950924002198566,-5.302311221971108,0.6352369790613586,"[2000, 2001, 2002]","[-3.2496065643310548, -2.7692912044525153, -0.9817135955810548]"
convnext_cifar100,constant_ild,dense,random_keeps_first_1,accuracy_change,False,3,2,0.25776666899522144,0.07783770446207566,0.06440709193813723,0.45112624605230567,"[2000, 2001, 2002]","[0.30140000581741333, 0.30400003492832184, 0.1678999662399292]"
convnext_cifar100,constant_ild,dense,random_keeps_first_2,ce,False,3,2,-4.719207172648113,1.8378646168780262,-9.284715976686124,-0.153698368610101,"[2000, 2001, 2002]","[-6.139694091796876, -5.3743973564147955, -2.643530069732666]"
convnext_cifar100,constant_ild,dense,random_keeps_first_2,accuracy,False,3,2,0.33449997504552204,0.10004764069716546,0.08596785780935079,0.5830320922816933,"[2000, 2001, 2002]","[0.3845999836921692, 0.39959996938705444, 0.21929997205734253]"
convnext_cifar100,constant_ild,dense,random_keeps_first_2,excess_ce,False,3,2,-4.006504267374675,1.8571148202749452,-8.61983322763151,0.606824692882161,"[2000, 2001, 2002]","[-5.399272518157959, -4.722218901062012, -1.8980213829040524]"
convnext_cifar100,constant_ild,dense,random_keeps_first_2,accuracy_change,False,3,2,0.3016666571299235,0.10136432864561533,0.04986370570628634,0.5534696085535606,"[2000, 2001, 2002]","[0.3544999957084656, 0.36570000648498535, 0.18479996919631958]"
